qqr_latin	qqr_kirill	ruscha
qamıs	қамыс	камыш; / камышовый;
nawqamıs	наўқамыс	заросли высокого ка - мыша; қуў қамыс сухой ка
qamıslı	қамыслы	с - камышом; қамыслы
qamıslıq	қамыслық	камышовые зарос
qamıt	қамыт	хомут; қамыт кийгизнадевать хомут; <0> ол қамыт
aǵashtay	ағаштай	болып қалыпты он стал
qamıtla-	қамытла-	надевать - хомут
qamıtlaw	қамытлаў	и. д. от қамытланадевание хомута
QIZ-	ҚЫЗ-	разгорячйться, вспылйть;
qanı	қаны	қызба - несдержанный, го
boyawı	бояўы	қан- быть хорошо выкра - шенным; бояўы қанған хорошо
qana	қана	I I) долька семян дыни;
qawınnıc	қаўынныц	шопағы үш қана семена
qanasına	қанасына	сыймай тур-вы хо
qana-	қана-	I) кровоточйть, течь
qanadı	қанады	из его носа - текла
qanaat	қанаат	довольство, удовлетво
biyqanaat	бийқанаат	атты сойғызар
qanaatlan-	қанаатлан-	довольствоваться
qanaatlanarlıq	қанаатланарлық	см. - канаатландырарлық; жумысы толық
kanaatlanarsızlıq	канаатланарсызлық	неудовлетворйтельный
qanaatlandır-	қанаатландыр-	понуд. от қа
qanaatlandırarlıq	қанаатландырарлық	удовлет - ворительный; способный удов
qanaatlandırıw	қанаатландырыў	и. д. - от қа!
qanaatlanıw	қанаатланыў	и. д. - от қанан/>
qanaatsız	қанаатсыз	I) недовольный;
qanaatsızlan-	қанаатсызлан-	1) быть недо
qanaatsızlanıw	қанаатсызланыў	и. д. - от қанаатсызлан
qanaatsızlıq	қанаатсызлық	1) недовольство;
qanaatshıl	қанаатшыл	довольствующийся - малым, скромный в своих тре
qanaǵat	қанағат	см., қанаат
qanaǵatlan-	қанағатлан-	см. қанаатлан
qanazat	қаназат	чистокровная - лошадь
qanal-	қанал-	страд, о т қана- 1) быть
qanalas	қаналас	единоутробный, род
qanalaslıq	қаналаслық	родственность
qanalıw	қаналыў	и. д. от қанал- экс - плуатация, угнетение
qanalıwshı	қаналыўшы	эксплуатируемый
qanar	қанар	канар, большой мешок;
qanar-qanar	қанар-қанар	пахта келди хлопок
qanarla-	қанарла-	класть что-л. в канар
qanarlat-	қанарлат-	понуд. от қанарлазаставить класть что-л. в канар
qanarlaw	қанарлаў	и. д. от қанарласкладывание чего-л. в - канар
qanatla-	қанатла-	махать, взмахивать
qanatlan-	қанатлан-	1) страд, от канатла-; 2) перен. воодушевляться
qanatlı	қанатлы	двукрылый; 2) перна
qanatsız	қанатсыз	бескрылый, без кры
qanattır-	қанаттыр-	понуд. от қанат
kanatıw	канатыў	и. д. - от қанат- - 1) кро
Kanaw	Канаў	и. д. - от қана- - 1) крово
kanawshı	канаўшы	эксплуататор, угне
qanawshılıq	қанаўшылық	эксплуатация
bolǵanda	болғанда	қандай! да ещё как
qandayına	қандайына	как, каким обра
qandayınan	қандайынан	из - которых
qandakınsha	қандакынша	см. қандайына
qandala	қандала	клоп
qandır-	қандыр-	понуд. от қан- насы - тить; ыапойть, утолйть жажду;
qandırt-	қандырт-	понуд. от қандырзаставить - насытить; заставить
qandırıw	қандырыў	и. д. от қандыр- на - сыщение; утоление жажды
qanjar	қанжар	кинжал; қанасар урнаносйть удары кинжалом
qapjarla-	қапжарла-	наносйтн удары
qanjarlas-	қанжарлас-	взаимн. от қанжарла- наносить друг другу уда
qanjarlaw	қанжарлаў	и. д. от қанжарлананесёние ударом кинжалом
qanjarlı	қанжарлы	с - кинжалом, имёюший кинжал
qanjıǵa	қанжыға	торока (седла)-, қанжығаға байла- приторочить
qanjıǵala-	қанжығала-	н1)нторочйть что
qanjıǵalat-	қанжығалат-	понуд. от қанжығала- застамить приторочить
qanjıǵalaw	қанжығалаў	и. д. от қанжыға
qanjıǵalı	қанжығалы	Имеющий - торока
qanlı	қанлы	1) кровный; таза қанлы
sawash	саўаш	кровопролитный - бой; 3)
Qanlı	Қанлы	екшемби ист. Кровавое - воскресенье; қанлы көз крово
qansız	қансыз	1) бескровный; 2) ма
qansızlan-	қансызлан-	становйтьсл мало
qansızlıq	қансызлық	малокровие
qansıra-	қансыра-	кровоточить; исте
qansırat-	қансырат-	понуд. от қансыра- вызвать - кровотечение; обес
qansıraw	қансыраў	и. д. - от қансыракровотечсиие; обескровливание
qant	қант	сахар; / сахарный; шақ
maq	мақ	қант пилёный - сахар; маши
qantala-	қантала-	1) покрываться кро
qantalan-	қанталан-	возвр.-страд, от
qantalandır-	қанталандыр-	понуд. - от қанталан- - 1) покрывать кровоподтё
qantalat-	қанталат-	понуд. - от қантала- - 1) покрывать кровоподтёками;
qantalattır-	қанталаттыр-	понуд. от қаиталат
qantalaw	қанталаў	и. д. от қантала
qantla-	қантла-	класть сахар во - что
qantlaw	қантлаў	и. д. от қантла
qanxor	қанхор	кровожадный; / кро
qanxorlıq	қанхорлық	кровожадность
qansha	қанша	сколько; қанша турады? сколько стоит?; бир қанша
KOLXOZDIQ	КОЛХОЗДЫҚ	канша жылқысы - бар?
qanshalıq	қаншалық	насколько; скс^ько
qanshama	қаншама	см. қаншалық
qanshelli	қаншелли	во - сколько, насколь
qanshı	қаншы	кровопускатель, лекарь
qanshıq	қаншық	сука
qanıq	қанық	привыкший; андай
qanıq-	қанық-	привыкать, приобре
qanıw	қаныў	и. д. от қан- пасыщ.ё- - ние; утоление жажды
qaqbaq	қақбақ	перекатй-пбле (на
qapbaq	қапбақ	трава, идущая на корм
qacbaqtay	қацбақтай	как перекатй-пб - ле; қақбақтай женил лёгкий
qanbaqtay	қанбақтай	ушты он быстро - шёл
qaqǵı-	қақғы-	1) скитаться; бродяж
qanǵı	қанғы	баслық а») бродяжниче
ǵıǵan	ғыған	оқ шальная - пуля
qanǵıma	қанғыма	см. қанғыбас
qanǵır-	қанғыр-	см. қанғы-; қанғырып
qanǵırma	қанғырма	см. қанғыбас
qanǵırt-	қанғырт-	понуд. - от қанғыр- - 1),"заставить скитаться; сделать
qanǵırıw	қанғырыў	и. д. от қанғыр
qanǵıw	қанғыў	и. д. - от қанғы- - 1) ски
qanqay-	қанқай-	1) быть громбздким
qanqayıw	қанқайыў	и. д. - от қанқай
qanqıyıw	қанқыйыў	и. д. от қанқый
qansar	қансар	охбта, желание, склбиность кчему-л.-, қансарым аўды
qansı-	қансы-	см. қансыла
qansıla-	қансыла-	визжать, скулить (о
qansılas-	қансылас-	взаимн. от қансы
qansılat-	қансылат-	понуд. от қансы
qansılatıw	қансылатыў	и.д. о/п қансылат
qacsılaw	қацсылаў	и. д. от қансыла- - визг (собаки)
qantar-	қантар-	1) дать лбшади остыть;
qantart-	қантарт-	понуд. - от қацтар- - 1) заставить задерживать кого
qantarıl-	қантарыл-	страд, от қантар
nantarıw	нантарыў	и. д. - от қантар
qanıltaq	қанылтақ	1) легковесный, лёг
qacıltır	қацылтыр	листовбе - железо;
qanıltırla-	қанылтырла-	обивать - листов.ь1м желёзом; покрывать же
qanıltırlat-	қанылтырлат-	понуд. от қа
qanıltırlaw	қанылтырлаў	и. д. от қаныл
qacıra-	қацыра-	1) пустеть, становить
qanırap	қанырап	бос қалды дом - совер
qadıraǵan	қадыраған	пустой; опустошён
qanırat-	қанырат-	понуд. - от қацыра- - 1) сделать пустым; опустошить;
qanıraw	қаныраў	и. д. от қацыра- опу - стошение
qap-qara	қап-қара	мерный-пречёрный
qalǵanın	қалғанын	қара! а он ещё как
ǴIP	ҒИП	қалғанымды-ай как - жаль
qap-	қап-	хватать - зубами, кусать;
biydáwletti	бийдәўлетти	туйе устинен ийт
qabar	қабар	поел, несчастливого соба
qapa	қапа	I печаль, тоска; / печаль
kóqili	көқили	шад огорчений у него - нет, он вёсел
qapalan-	қапалан-	печалиться, тоско
qapalandır-	қапаландыр-	понуд. от қапалан- - опечалить, вызвать тоску;
qapalant-	қапалант-	см., капаландыр
qapalanıw	қапаланыў	и. д. от қапалан
qapalı	қапалы	печальный, тоскў
qapalıq	қапалық	печаль, тоска; горе
qapashıl	қапашыл	печальный, опеча
qapashılık	қапашылык	см. қапалық
qapla-	қапла-	1) насыпать что-л. в
qapladı	қаплады	туча обложила - нёбо;
toǵaydı	тоғайды	гузги думай қаплаған
qaplama	қаплама	покрышка; обёртка
qaplan	қаплан	барс, леопард
qaplan-	қаплан-	страд, от. қапла
qaplas-	қаплас-	взаимн. от қапла
qaplat-	қаплат-	понуд. - от қапла
qaplattır-	қаплаттыр-	понуд. - от қаплат
qaplatıw	қаплатыў	и. д. - огп қаплат
qaplaw	қаплаў	и. д. о т қапла- - 1) насыпание чего-л. в мешкй; 2) изме
qaplawlı	қаплаўлы	1) насыпанный в ме
qapsır-	қапсыр-	1) соединять концы
qapsıra	қапсыра	қушақла- - обнять, об
qapsırıw	қапсырыў	и. д. - от қапсыр- - 1) соединение концов чего-л.;
qaptal	қаптал	1) бок, боковая часть
awrıp	аўрып	тур у меня болит правый - бок; шеп қаптал левая сторо
qaptalla-	қапталла-	1) идти сбоку; ехать
qaptallas	қапталлас	находящийся - рядом
qaptallas-	қапталлас-	взаимн. от қапталла- приближаться друг к - другу
qaptallastır-	қапталластыр-	понуд. от қапталлас- заставить приблйзиться
qaptallaw	қапталлаў	и. д. от қапталла
qaptallı	қапталлы	имеющий боковую - сторону, бок; <> тен қапталлы
qapteser	қаптесер	мышь
qaptır-	қаптыр-	понуд. от қап- заста
qaptırma	қаптырма	металлйческие за
qaptırt-	қаптырт-	понуд. от қаптыр
qaptırıw	қаптырыў	и. д. от қаптырхватаиие - зубами, кусание
qapshıq	қапшық	небольшой - мешок
qapshıqla-	қапшықла-	1) класть, насы
qapshıqlat-	қапшықлат-	понуд. - от қапшықла- - 1) заставить класть, на
qapshıqlaw	қапшықлаў	и. д. от қапшық
qapshıqlı	қапшықлы	находящийся в - мешках, всыпанный в мешкй;
qapıl	қапыл	иеожйданно, врасплох
qapıl-	қапыл-	I) быть в недостаточ
qapıldır-	қапылдыр-	понуд. от қапылзаставить - сообщать, передавать
qapılt-	қапылт-	см., қапылдыр
qapılıw	қапылыў	и. д. от қапыл
Kapırıq	Капырық	духота; / душный: /
kapırıqlıq	капырықлық	духота
suwı	суўы	талая вода. - кар II предплечье {часть руки
KÓK	КӨК	а) тёмио-голубой; б) тёмно
suwık	суўык	сухой - мороз; кара жел
KÓZDIQ	КӨЗДИҚ	карасы а) зрачок; б) п е
qarap	қарап	шык- просмотреть руко - пись; жол қарап кел- разведать
tómen	төмен	қарамасацлар болды хоро - шо, если вам не придётся крас
qarabay	қарабай	эоол. - баклан
qarabayır	қарабайыр	карабайр [помесь
qarabaqana	қарабақана	развалины, руйны
qarabaraq	қарабарақ	название - травы
qarabuwra	қарабуўра	блоки из - камыша
qaraǵay	қарағай	сосна
qaraǵaylı	қарағайлы	изобилующий сос - ной; место, поросшее сосной
qaraǵansı-	қарағансы-	делать - вид, что
qaraǵım	қарағым	мйлый, дорогой
qaraz	қараз	мельница; жел қараз
karayǵanda	карайғанда	когда зашло - солнце
qarayt-	қарайт-	понуд. - от қарай- - 1) зачернйть, затемнйть; сдёлать чёр
karaytıw	карайтыў	и. д. - от қарайт- - 1) затемнёние; 2) потускнёние
qarayıw	қарайыў	и. д. от - карай
karaq	карақ	мйлый [ласковое обра
qarakalpakshılıq	қаракалпакшылық	свойства
karaqshı	карақшы	1) грабйтель, вор
qaraladı	қаралады	это дёло скоро будет
qaralan-	қаралан-	страд, от қарала
qaralandır-	қараландыр-	понуд. - от қаралан- - 1) очернйть, окрасить в чёр
qaralanıw	қараланыў	и. д. от қаралан
qaralanıwshı	қараланыўшы	обвиняемый
qaralas-	қаралас-	взаймы, от қарала
qaralastır-	қараластыр-	понуд. от каралас
qaralat-	қаралат-	понуд. - от к,арала
qaralattır-	қаралаттыр-	понуд. от каралат
karalaw	каралаў	и. д. о т - карала- - 1) кра
karalawshı	каралаўшы	обвинйтель
karalıw	каралыў	и. д. от карал- рас
karalıwshı	каралыўшы	подлежащий рас - смотрению; каралыўшы или каралатуғын ис дело, подлежащее
karamaǵında	карамағында	послелог соот
ǵında	ғында	при заводе
karama-qarsı	карама-қарсы	коз караслар про
qaranıw	қараныў	и. д. от каран
karanǵı	каранғы	1) темнота; / тёмный;
KÓZIM	КӨЗИМ	жок название детской иг - ры (букв, в темноте нет глаз);
qaracǵı	қарацғы	чем кончится это - дело
qaracǵıla-	қарацғыла-	затемнять что-л
qaracǵılan-	қарацғылан-	возвр. от қарац
ǵıla-	ғыла-	затемняться, стаиовйться
qaracǵılat-	қарацғылат-	понуд. от қа
racǵıla-	рацғыла-	окутывать - тьмой, мра
qaracǵılaw	қарацғылаў	и. д. от қарацғы
qaracǵılıq	қарацғылық	1) тьма, мрак;
qaracla-	қарацла-	1) едва виднеться
qaraclat-	қарацлат-	понуд. от қарацла
qaraclaw	қарацлаў	и. д. - от қарацла
qarapayım	қарапайым	простой, обыкно
qarar	қарар	қыл- вынести постановле - ние, постановйть; қарар қылынды постановлено, прйнято реше
qararsız	қарарсыз	1)без постановления
qaras-	қарас-	взаимн. - от қара- - 1)
qaraslı	қараслы	1) принадлежащий
qarastır-	қарастыр-	понуд. - от қарас- - 1) заставить смотреть, рассма
qarastırıw	қарастырыў	и.д. от қарастыр
qarasıq	қарасық	помощь, поддержка
qarasıw	қарасыў	и. д. от карас
qarat-	қарат-	понуд. - от қара- - 1) по
qarat	қарат	поверий - сюда; докторға
karatorǵay	караторғай	скворец
qaratıl-	қаратыл-	страд, от карат-;
qaratıw	қаратыў	и. д. от қарат- под - чинение, покорение
qaraw	қараў	и. д. - от қара- - 1) смотр
qarawla-	қараўла-	многокр. - от қара-;
oǵan	оған	қараўлап кете алмадым - из
qarawsız	қараўсыз	безнадзорный; / без
qarawsızlıq	қараўсызлық	безнадзорность;
qarawıl	қараўыл	1) караул, дозор;
qarawıl-begi	қараўыл-беги	уст. придворное
qarawılla-	қараўылла-	караулить, сторо
qarawıllat-	қараўыллат-	понуд. от қа
rawılla-	раўылла-	заставить - караулить
qarawıllaw	қараўыллаў	и. д. от қараўылла
karawıllıq	караўыллық	караульный; қа
rawıllıq	раўыллық	хызмет караульная
qarawıt-	қараўыт-	чернеть, темнеть;
uzaqta	узақта	тоғай қараўытып тур
qarawıtıú	қараўытыү	и. д, от қараўыт
qarashaǵaz	қарашағаз	дйкий - гусь
qarashıq	қарашық	1) .зрачок, зеница;
KÓZDIN	КӨЗДИН	қарашығы зрачок - глаза;
qarbız	қарбыз	арбуз; шым шытыр
qarǵa	қарға	ворона; кок қарға
ǵadayında	ғадайында	в раннем - детстве
qarǵa-	қарға-	проклинать кого-что-л
qarǵan-	қарған-	клясться, поклясть
qarǵaw	қарғаў	и. д. от қарға- прокля
ǵısı	ғысы	ошейник для гончей
qarǵı-	қарғы-	прыгать; вспрыгивать
qarǵıbaw	қарғыбаў	уст. подарок родйтелей жениха родйтелям - невесты
qarǵıla-	қарғыла-	надевать - ошейник
qarǵılawlı	қарғылаўлы	см. қарғылы
qarǵılı	қарғылы	с - ошейником, имею
qarǵıs	қарғыс	проклятие; қарғыс тийген или қарғыс урған прокля
qarǵıt-	қарғыт-	понуд. от қарғы- за
qarǵıw	қарғыў	и. д. от қарғы- пры - ганье; вспрыгивание; перепрыги
qardar	қардар	нуждающийся е - чсм-л.\
qarjı	қаржы	1) расход; 2) денежный
qarjılan-	қаржылан-	тратиться, расхб'»
qarjılandır-	қаржыландыр-	понуд. от қаржылан- заставить - истратиться
qarjılanıw	қаржыланыў	и. д. от қаржылан- - трата,расходование, расход
qarjılı	қаржылы	имеющий - средства
qarjısız	қаржысыз	не имеющий - средств
qarq	қарқ	обилие, изобйлие; етке
qarqboldıq	қарқболдық	у нас мясо в изоби - лии; қарқ бол- получить что
qarq-qarq	қарқ-қарқ	1) звукоподражание
qarqılda-	қарқылда-	1) каркать (о воро
qarqıldaq	қарқылдақ	1) каркающий (о
qarlı	қарлы	1) снежный; қарлы боран снежный буран; быйыл қыс
qarlıǵash	қарлығаш	ласточка; таў қарлығашы горная ласточка
qarlıǵıw	қарлығыў	и. д. - от қарлық- - 1) хрипение, хрип, сипенье; 2)
qarlıq-	қарлық-	1) хрипеть, сипеть;
dawsım	даўсым	қарлых,ты я охрип; 2) вы
qarlıqtır-	қарлықтыр-	понуд. о/н карлык- 1) вызвать хрипоту, хрип
karmaqshı	кармақшы	рыболов, ловящий
qarmat-	қармат-	понуд. от - карма- - 1) за
karmaw	кармаў	и. д. от - карма- - 1) хва
qarsak	қарсак	корсак
qarsız	қарсыз	бесснежный; /без снега
qarsılan-	қарсылан-	1) противоречить;
qarsılandır-	қарсыландыр-	понуд. - от қарсылан- - 1) вызвать противоре
qarsılas	қарсылас	противник; мэниси
qarsılas-	қарсылас-	1) выступать друг
qarsılaslıq	қарсыласлық	1) враждебные
qarsılastır-	қарсыластыр-	понуд. - от қарсылас- - 1) заставить выступать
qarsılasıw	қарсыласыў	и. д. - от қарсылас- - 1) выступление' друг против дру
qarsılda-	қарсылда-	трещать, издавать
qarsıldat-	қарсылдат-	понуд. от қарсылда- вызвать - треск
qarsılıq	қарсылық	1) возрансёние, про
qarama-qarsılıqları	қарама-қарсылықлары	классо
qart	қарт	старик; / старый
karuw-jarak	каруў-жарак	собир. - оружие;
karuwlanıw	каруўланыў	и. д. от - каруўлан- - 1) приобретение сйлы, усиление;
karuwlı	каруўлы	1) крепкий; сйльный;
karuwsız	каруўсыз	1) бессильный, сла
karuwsızlan-	каруўсызлан-	1) быть бесейльным, слабым; 2) быть невоору
karuwsızlık	каруўсызлык	1) бесеЙшие, сла
karshıǵa	каршыға	ястреб; каршығам
karaǵım	карағым	мой ненаглядный с гла
qarı-	қары-	1) обжигать; жалын
QOLIMDI	ҚОЛЫМДЫ	қарыды пламя обожгло - руку; суўық бетти қарыды лицо
qarız	қарыз	долг; задолженность;
qarızǵa	қарызға	бер- давать в - долг, да
qarızdar	қарыздар	см. қарызлы; мен оған
qarızdarmai	қарыздармаи	я его - должник;
qarızlan-	қарызлан-	должать, делать
qarızlandırıw	қарызландырыў	и. д. от қа
qarızlanıw	қарызланыў	и. д. от қарызлан
qarızlı	қарызлы	должник; мен оған
qarızlıman	қарызлыман	я его - должник
qarıy	қарый	1) уст. чтец корана;
qarıylıq	қарыйлық	1) уст. занятие
qarıq	қарық	1) грядка; қарық қазкопать грядки; 2) оросительная
qarıqla-	қарықла-	1) делать грядки;
qarıqlat-	қарықлат-	понуд. - от қарықла- - 1)заставить делать грядки; 2) за
qarıqlattır-	қарықлаттыр-	понуд. от ка
qarıqlatıw	қарықлатыў	и. д. от қарықлат
qarıqlaw	қарықлаў	и. д. - от қарықла- - 1)
qarıqlı	қарықлы	1) с грядками, имею
qarırl-	қарырл-	канава, окружающая
qarım-qatnas	қарым-қатнас	связь, отноше
-qatnasta	-қатнаста	бол- быть с кем-л. в
qarımla-	қарымла-	копать - что-л. (напр
qarımlaw	қарымлаў	и. д. - от қарымла
qarın	қарын	1) живот, брюхо; ж елу
qarındas	қарындас	1) младшая родная
qarındaslıq	қарындаслық	родство
qarınlı	қарынлы	с большйм - животом
qarınsa	қарынса	набрюшник (привязы
qarıs	қарыс	четверть (мера длины
QÓNDI	ҚӨНДИ	он неособенно - упрямн.пся
qarıs-	қарыс-	II сводить судорогой;
qarısla-	қарысла-	мерить, измерять
qarıslat-	қарыслат-	понуд. от қарыслазаставить - мерить, измерять
qarıslattır-	қарыслаттыр-	понуд. от қа
qarıslaw	қарыслаў	и. д. от қарыслаизмерёние чего-л. пядями
qarıstır-	қарыстыр-	понуд. - от қарыс
qarısıw	қарысыў	I и. д. от қарыс- I
qarıw	қарыў	и. д. от қары
qarıya	қарыя	старец, старик
qas	қас	I 1) враждебный; вражду
qasına	қасына	барды он подошёл к де - вушке; қасында а) при нём;б) око
qasaqana	қасақана	нарочно,со злым умы
kasaqı	касақы	зловредный
qasaqılıq	қасақылық	зловредность
qasaq	қасақ	1) ленивый, нерадивый;
qasakla-	қасакла-	делать что-л. жёст
qasaqlaw	қасақлаў	и. д. - от қасанла
qasaclıq	қасацлық	1) леность, неради
qasar-	қасар-	1) злйться, свирепеть;
qasart-	қасарт-	понуд. - от қасар- - 1)
qasarıs-	қасарыс-	вааимн. - от қасар- I)
qasarısqan	қасарысқан	упорный, ожесто
qasarıstır-	қасарыстыр-	понуд. о/п қасарыс- 1) вызвать злобу друг про
qasarısıw	қасарысыў	и. д. от қасарыс
qasarıw	қасарыў	и. д. от қасар
qasawbay	қасаўбай	шхуна
qaskúnem	қаскүнем	1) вредйтель; 2) зло
qaskúnemlik	қаскүнемлик	1) вредительство;
qasqa	қасқа	I с бёлым лбом (о жи
qasqasınday	қасқасындай	анық совершёино - ясно; тут нет никаких сомиёний
qasqaldaq	қасқалдақ	лысуха {болотная
qasqır	қасқыр	волк;сур қасқыр серый
qasqır-masqır	қасқыр-масқыр	собир. - волки;
qaslas-	қаслас-	враждовать друг с - дрў
qaslastır-	қасластыр-	понуд. от қасласвызвать враждебность друг к - другу; вызвать злобу по отно
qaslasıw	қасласыў	и. д. от қаслас- враж
qaslıq	қаслық	1) вражда, враждеб
qasnaqla-	қаснақла-	1) делать поля (у
qasnaqlat-	қаснақлат-	понуд. - от қаснақла- - 1) заставить делать поля (у ш ля
qasnaqlaw	қаснақлаў	и. д. от қаснақлаустанаклёние - навеса
qasnaqlı	қаснақлы	1) с полями (о ш ля
qaskaqsız	қаскақсыз	1) без полей (о шля
qaspaq	қаспақ	часть пригоревшей - пйщи (приставшей ко дну котла);
qaspaqlan-	қаспақлан-	приставать ко дну - котла (о пище, о молоке)
qaspaqlı	қаспақлы	с остатками пйщи
qassap	қассап	мяснйк
qassapxana	қассапхана	1) бойня; 2) мяс
qassapshı	қассапшы	см. қассап
qassapshılıq	қассапшылық	ремесло, заня
qastıpn	қастыпн	см. қаскүнем
qastıyanlıq	қастыянлық	ис вредйтельство
qastıyakshıl	қастыякшыл	см. қаскүнем
qastıyanshılıq	қастыяншылық	см. қаскүнемлик
qası-	қасы-	чесать, почёсывать что
qasıq	қасық	ложка; агаш қасық
qasımker	қасымкер	злоиамёренный, зло
qasımkerlik	қасымкерлик	злонамеренность
qasımkershilik	қасымкершилик	см. қасымкерлик
qasın-	қасын-	возвр. от қасы- чесать - ся, почёсываться
qasınak	қасынак	мимо; қасыкан өтип
ótip	өтип	кетти пуля пролетёла мй
qasında	қасында	около, возле; қасыкда
qasındır-	қасындыр-	понуд. от қасынзаставить - чесаться, почёсывать
qasınıs-	қасыныс-	взаимн. - от қасынчесаться, почёсываться (о не
qasınıw	қасыныў	и. д. от қасын- че - сание, почёсывание
qasıt-	қасыт-	понуд. от қасы- - велёть, заставить чесать, почёсы
qasıtıw	қасытыў	и, д. от қасыт- чеса
qasıw	қасыў	и. д. от қасы- - чесание
qat	қат	см. қабат; қат-қат не
qat-	қат-	I) прям, и перен. затвер
qatıp	қатып	қалды руки окоченели от - холода; 3) перси, остолбенеть;
qatal	қатал	1) прям, и перен. жёст
qatallan-	қаталлан-	см. қатаклан
qatallıq	қаталлық	1) жестокость; 2)
qatanlan-	қатанлан-	1) прям, и перен. ста
qatanlanıw	қатанланыў	и, д. от катанланзатвердёние, огрубение
qatanlas-	қатанлас-	взаимн. от катанла- становиться - строгим, трёбоиатслышм (о нескольких)
qatar-katar	қатар-катар	ссбир. - рядами
qatarla-	қатарла-	ставить - рядом; ста
qatarlan-	қатарлан-	возвр. от катарластановйться - рядом, выстраи
qatarlasa	қатарласа	жур- идти - рядом; қа
qatarlaslık	қатарласлык	см. катарлық
katarlasıw	катарласыў	и. д. от катар
qatarlat-	қатарлат-	понуд. от катарлапоставить - рядом; заставить рас
qatarlattır-	қатарлаттыр-	понуд. от қатарлат
qatarlatıw	қатарлатыў	и. д. от қатарлатрасположёние - рядами, образо
qatarlaw	қатарлаў	и. д. от қатарларасположёние - рядами
qatarlı	қатарлы	1) стоящий рядом;
qatarlıq	қатарлық	относящийся к - ряду
qatarında	қатарында	наравнё; в числё
qatqaq	қатқақ	заморозки; / мёрзлый;
qatqalaq	қатқалақ	1) замёрзший, мёрз
qatla-	қатла-	наслаивать - что-л.^
qatlam	қатлам	в разн. знач. - слой;
qatlama	қатлама	слойка, витушка, сло
qatlamadan	қатламадан	дәме етер поел
qatlamlı	қатламлы	слоёный, слоистый
qatlan-	қатлан-	страд, от қатла- на
qatlandır-	қатландыр-	понуд. - от қатланслойть, наслаивать, класть слоя
qatlas-	қатлас-	взаимн. от қатла-по
qatlat-	қатлат-	см. қатландыр
qatlaw	қатлаў	и. д. от қатла- наслаи - вание, складывание слоями, пла
qatlawlı	қатлаўлы	наслоённый
qatmar	қатмар	складка, морщйиа
qatmarlan-pokrıvat'sya	қатмарлан-покрываться	склад - ками, морщйнами (напр. о лице)
katmarlanıw	катмарланыў	и. д. от қатмарлан
qatmarlı	қатмарлы	со - складками, морщйнистый (напр. о лице)
qatna-	қатна-	1) ходйть туда и обрат
qatnadı	қатнады	машйиа сдёлала пять - рёйсов; 2) посещать/сого-что-л
qatnas	қатнас	1) в разн. знач. отноше
qatnas-	қатнас-	1) участвовать, при
qatnassız	қатнассыз	1) не имёющий от
qatnastır-	қатнастыр-	понуд. - от қатнас- - 1) заставить принимать участие
KÓPSHILIKTI	КӨПШИЛИКТИ	қатнастыр- при
saylawǵa	сайлаўға	қатнастыр- привлекать
qatnastırıw	қатнастырыў	и. д. от катнастыр- вовлечение во - что-л.; привлечёние к участию в чём-л.;
oqıwǵa	оқыўға	қатнастырыў вовлечёние
qatnasıq	қатнасық	1) участие; сизиц
qatnasıǵıcız	қатнасығыцыз	жоқ - па? вы не при
mámlekettin	мәмлекеттин	өз-ара қатнасығы
qatnasıqlı	қатнасықлы	1) участвующий
qatnasıqsız	қатнасықсыз	I) не принима
qatnasıw	қатнасыў	и. д. - от қатнас- - 1) участие; 2) общёние друг с
qatnasıwshı	қатнасыўшы	1) участник; со
qatnat-	қатнат-	понуд. от қатна
qatnaw	қатнаў	и. д. - от қатна- - 1) хождёние туда и обратно, курсиро
qatnawshı	қатнаўшы	часто бывающий - где-л .\ частый посетитель
qatpa	қатпа	худосочный, чахлый;
wash	ўаш	ожесточённая - схватка; 5)
suwıq	суўық	крепкий - мороз; рёзкий хо
qattılıq	қаттылық	1) твёрдость; 2)
qatıbılamıq	қатыбыламық	название куша - нья {пригот овляемое из м уки
qatım-qarıs	қатым-қарыс	собир. взаимоотношёние
tútinic	түтиниц	поел, с хорошей женой
qatın-qalash	қатын-қалаш	еобир. жёнщины
qatınlı	қатынлы	имёющий - жену, ж е
qatınlıq	қатынлық	жёнственность, ка
qatıksha	қатыкша	по-жёнски
qatıcqı	қатыцқы	худой, сухопарый
qatır-	қатыр-	1) сделать твёрдым
qatırlaq	қатырлақ	хрустящий
qatırlat-	қатырлат-	понуд. от қатырлавызвать - треск, хруст
qatırt-	қатырт-	п онуд. от қатыр
qatırıw	қатырыў	и. д - от қатыр
qatıs	қатыс	раза. - см. қатнас; меник бул иске бир қанша қатысым бар я имею к этому делу
qatıs-	қатыс-	см. қатнас
qatısıq	қатысық	см. қатнасық
qatısıqlı	қатысықлы	см. қатнасықлы
qatısıwshı	қатысыўшы	см. қатнасыўшы
tıwı	тыўы	қозғалды у меня в животе
katıwash	катыўаш	корка (напр. на р а
qatıwashlan-	қатыўашлан-	образовываться
qatıwashlakıw	қатыўашлакыў	и. д. от қаты
washlan-	ўашлан-	образование корки н а - чём -л. {напр. на ране или на по
qatıwlan-	қатыўлан-	1) быть рассвире
qatıwlanıw	қатыўланыў	и. д. от қатыў
qaw-	қаў-	хватать - зубами, кусать;
qawajaq	қаўажақ	см. қатыўаш
qawasat	қаўасат	тревога; опасность;
qawasatlan-	қаўасатлан-	тревожиться, опа
